Original Price,Occurrences
0.0,17585
0.72,5
0.73,13
0.79,352
0.81,22
0.82,15
0.85,1
0.86,4
0.87,1
0.88,6
0.89,19
0.9,5726
0.91,1
0.95,1
0.99,172
1.0,58
1.05,6
1.07,1
1.11,1
1.12,2
1.17,1
1.18,2
1.19,3
1.2,10
1.24,1
1.25,3
1.29,8
1.3,4
1.31,1
1.32,1
1.33,2
1.34,1
1.38,1
1.39,4168
1.4,3
1.47,5
1.48,1
1.49,41
1.5,7
1.58,1
1.59,302
1.6,2
1.62,1
1.65,1
1.66,1
1.67,1
1.69,8
1.78,1
1.79,8
1.8,9
1.84,1
1.88,2
1.89,3
1.9,3
1.91,1
1.95,1
1.98,1
1.99,644
2.0,46
2.03,5
2.05,1
2.06,2
2.09,2
2.1,1
2.15,1
2.19,3651
2.2,1
2.22,4
2.25,1
2.29,30
2.3,2
2.35,1
2.39,6
2.41,1
2.49,74
2.5,19
2.55,1
2.59,3
2.64,1
2.65,1
2.67,1
2.68,1
2.69,2527
2.7,1
2.75,13
2.77,1
2.78,2
2.79,299
2.8,1
2.83,1
2.85,1
2.87,1
2.9,3
2.97,2
2.98,1
2.99,1319
3.0,38
3.08,1
3.09,11
3.15,1
3.19,6
3.2,1
3.25,1
3.29,5689
3.3,3
3.33,2
3.34,11
3.37,1
3.39,4
3.49,29
3.5,11
3.56,1
3.58,4
3.59,11
3.6,4
3.61,1
3.66,1
3.69,4
3.73,1
3.75,1
3.77,1
3.79,4
3.89,5
3.9,2
3.94,1
3.98,2
3.99,2222
4.0,29
4.03,1
4.08,2
4.09,1
4.15,1
4.17,2
4.19,14
4.2,3
4.26,1
4.28,1
4.29,8
4.3,1
4.35,1
4.36,1
4.38,8
4.39,5
4.47,1
4.49,29
4.5,100
4.59,9
4.68,7
4.69,1725
4.7,1
4.77,5
4.78,1
4.79,4
4.8,1
4.86,1
4.88,5
4.89,4
4.9,1
4.95,3
4.97,1
4.98,1
4.99,2251
5.0,38
5.09,2
5.16,1
5.28,2
5.29,7
5.33,2
5.38,9
5.4,2
5.42,1
5.47,1
5.48,4
5.49,44
5.5,5
5.58,2
5.59,213
5.62,1
5.66,1
5.67,1
5.69,3
5.79,749
5.8,1
5.88,1
5.89,3
5.9,3
5.95,2
5.98,3
5.99,330
6.0,17
6.07,3
6.08,1
6.09,3
6.1,1
6.16,2
6.18,3
6.2,1
6.28,2
6.29,4839
6.3,1
6.38,3
6.4,1
6.49,19
6.5,2
6.58,5
6.59,2
6.6,1
6.66,1
6.69,376
6.75,1
6.79,1
6.8,1
6.85,1
6.88,1
6.89,1
6.9,3
6.92,2
6.94,1
6.98,1
6.99,2075
7.0,18
7.17,1
7.18,2
7.19,4
7.21,5
7.28,4
7.3,1
7.36,1
7.37,2
7.38,3
7.39,1
7.43,2
7.45,2
7.47,1
7.49,801
7.5,3
7.59,4
7.67,1
7.68,5
7.69,1
7.7,1
7.79,1
7.87,1
7.88,1
7.89,3
7.9,2
7.97,1
7.98,6
7.99,502
8.0,9
8.08,1
8.09,2
8.1,1
8.25,17
8.28,1
8.29,1
8.38,5
8.44,4
8.47,3
8.48,2
8.49,2514
8.5,3
8.58,2
8.59,71
8.67,1
8.69,1
8.77,1
8.78,2
8.79,2
8.89,1
8.9,1
8.95,1
8.96,1
8.98,1
8.99,391
9.0,9
9.08,4
9.18,3
9.21,1
9.26,1
9.29,2
9.32,1
9.38,1
9.39,5
9.4,1
9.48,1
9.49,191
9.5,1
9.58,6
9.59,17
9.61,2
9.66,1
9.69,5
9.78,1
9.87,8
9.88,2
9.89,260
9.9,6
9.95,1
9.97,1
9.98,1
9.99,804
10.0,32
10.17,1
10.29,128
10.38,2
10.45,1
10.48,1
10.49,2267
10.5,4
10.59,26
10.66,2
10.79,1
10.89,1
10.9,1
10.96,1
10.98,1
10.99,117
11.0,1
11.01,1
11.05,1
11.18,3
11.24,1
11.25,5
11.28,4
11.39,2
11.48,1
11.49,17
11.5,3
11.54,1
11.57,3
11.59,17
11.6,1
11.67,1
11.68,2
11.77,2
11.78,2
11.88,1
11.89,1
11.9,1
11.98,3
11.99,91
12.0,6
12.08,2
12.18,1
12.28,1
12.29,1
12.48,1
12.49,858
12.5,1
12.58,6
12.59,370
12.68,3
12.79,1
12.87,1
12.88,2
12.9,2
12.98,1
12.99,91
13.0,1
13.05,1
13.11,3
13.18,3
13.25,1
13.28,4
13.39,5
13.45,1
13.46,2
13.48,1
13.49,8
13.57,1
13.59,1
13.69,1
13.75,2
13.76,1
13.78,5
13.97,1
13.98,2
13.99,31
14.0,1
14.09,1
14.18,1
14.25,1
14.28,1
14.38,1
14.49,616
14.5,1
14.59,1
14.68,3
14.69,2
14.77,2
14.78,3
14.87,1
14.9,2
14.93,1
14.98,3
14.99,358
15.0,11
15.07,2
15.17,1
15.18,2
15.28,1
15.39,1
15.48,3
15.49,4
15.64,1
15.78,3
15.87,1
15.9,1
15.97,1
15.99,48
16.0,1
16.09,1
16.26,1
16.28,1
16.45,7
16.49,146
16.58,1
16.68,1
16.73,1
16.79,1
16.97,2
16.98,1
16.99,28
17.0,5
17.07,1
17.08,1
17.18,2
17.48,1
17.49,4
17.78,1
17.98,2
17.99,134
18.0,3
18.15,1
18.49,225
18.7,1
18.74,1
18.75,4
18.84,1
18.86,1
18.87,6
18.98,3
18.99,36
19.0,1
19.38,1
19.45,1
19.48,1
19.49,2
19.57,1
19.74,5
19.77,1
19.89,1
19.9,10
19.96,1
19.99,339
20.0,10
20.07,1
20.49,53
20.7,2
20.78,2
20.97,3
20.98,2
20.99,17
21.27,1
21.49,1
21.78,1
21.9,1
21.98,2
21.99,12
22.0,1
22.1,2
22.28,2
22.49,6
22.5,1
22.98,2
22.99,99
23.0,1
23.29,1
23.32,1
23.48,1
23.49,1
23.56,3
23.67,1
23.99,22
24.0,1
24.19,1
24.48,1
24.49,6
24.75,1
24.77,1
24.79,1
24.95,1
24.98,2
24.99,93
25.0,1
25.16,8
25.37,3
25.48,2
25.49,3
25.56,8
25.99,11
26.07,1
26.46,3
26.55,1
26.99,11
27.35,1
27.48,1
27.49,5
27.53,2
27.57,1
27.99,58
28.0,1
28.43,1
28.49,1
28.59,1
28.98,2
28.99,1
29.0,1
29.95,1
29.98,1
29.99,189
30.0,1
30.06,1
30.39,1
30.96,1
30.98,2
30.99,5
31.45,10
31.53,2
31.99,30
32.18,1
32.49,1
32.99,17
33.29,9
33.49,4
33.88,2
33.98,1
33.99,1
34.78,1
34.98,1
34.99,31
35.0,2
35.97,1
35.99,4
36.65,1
36.99,9
37.28,1
37.49,2
37.74,2
37.99,2
38.47,4
38.95,1
39.39,1
39.99,92
40.17,3
40.79,1
41.69,5
42.83,1
42.99,2
43.24,2
43.67,3
43.76,2
43.99,2
44.25,4
44.42,1
44.99,15
45.99,12
46.99,3
47.47,1
47.99,3
49.85,1
49.99,55
50.0,1
51.88,1
52.49,1
53.34,4
53.95,1
54.12,8
59.99,50
60.77,1
62.49,1
63.99,1
64.36,1
64.96,1
64.98,1
68.99,3
69.98,1
69.99,16
70.79,1
74.91,4
79.99,2
80.49,1
89.99,30
91.69,1
91.96,4
91.98,15
92.62,2
99.99,5
100.0,2
105.07,2
109.19,1
123.38,2
135.98,1
137.97,3
139.0,1
142.67,3
145.14,2
149.99,2
163.38,10
179.98,4
181.97,1
183.96,7
199.99,1
200.0,1
